id,coin,direction,category,entry_price,exit_price,tp_hit,pnl_pct,pnl_usd,pattern,signal_score,opened_at,closed_at,bybit_order_id,conf_pct
ZRO_LONG_2026-06-17_0651,ZRO,LONG,LOSS,1.16,1.08,SL,0.0,0.0,Stage 2 breakout — 7d +41% with healthy retest structure,,2026-06-16 20:04,2026-06-17 06:51,,87.0
JTO_LONG_2026-06-17_2221,JTO,LONG,LOSS,0.775,0.735,SL,0.0,0.0,"Bull flag retest — high RS vs BTC, strong 7d momentum",,2026-06-16 22:03,2026-06-17 22:21,,87.0
AERO_LONG_2026-06-16_2251,AERO,LONG,PARTIAL_WIN,0.429,0.478,TP1,0.0,0.0,Stage 2-3 expansion retest — 33% 7d breakout with healthy pullback,,2026-06-16 22:03,2026-06-16 22:51,,86.0
VVV_SHORT_2026-06-17_1021,VVV,SHORT,LOSS,15.5,16.5,SL,0.0,0.0,"RS failure — -10.16% 24h, -6.75% 7d, no institutional support",,2026-06-16 22:03,2026-06-17 10:21,,89.0
HYPE_LONG_2026-06-19_644,HYPE,LONG,LOSS,71.5,68.2,SL,0.0,0.0,"Stage 2-3 breakout retest — strongest RS in dataset, 7d +23.65%, reclaim of intraday demand zone",,2026-06-17 00:03,2026-06-19 6:44,,88.0
JTO_LONG_2026-06-17_1651,JTO,LONG,LOSS,0.7925,0.755,SL,0.0,0.0,"Bull flag compression — 7d +33.95%, healthy Vol/MCap 0.018, Stage 2 expansion retest",,2026-06-17 00:03,2026-06-17 16:51,,87.0
WLD_LONG_2026-06-17_0851,WLD,LONG,PARTIAL_WIN,0.629,0.7,TP1,0.0,0.0,"Breakout retest — 7d +20.59%, 24h +12.55% but Vol/MCap only 0.014, not triggering FOMO filter, reclaiming resistance",,2026-06-17 00:03,2026-06-17 08:51,,86.0
VVV_SHORT_2026-06-17_0921,VVV,SHORT,LOSS,15.6,16.4,SL,0.0,0.0,"LH/LL breakdown — 24h -9.51%, 7d -4.24%, RS failure vs BTC and dataset, Stage 4-5 exhaustion",,2026-06-17 00:03,2026-06-17 09:21,,89.0
XLM_LONG_2026-06-18_821,XLM,LONG,PARTIAL_WIN,0.2125,0.235,TP1,0.0,0.0,Stage 2 breakout retest — relative strength leader,,2026-06-17 02:04,2026-06-18 8:21,,87.0
CHZ_SHORT_2026-06-19_644,CHZ,SHORT,PARTIAL_WIN,0.0254,0.0224,TP1,0.0,0.0,Stage 4-5 distribution — Laggard with accelerating relative weakness,,2026-06-17 04:04,2026-06-19 6:44,,87.0
AERO_LONG_2026-06-17_2251,AERO,LONG,PARTIAL_WIN,0.4525,0.51,TP1,0.0,0.0,Bull flag compression — momentum expansion after 40% weekly move,,2026-06-17 06:04,2026-06-17 22:51,,89.0
SOL_LONG_2026-06-19_644,SOL,LONG,LOSS,73.15,70.2,SL,0.0,0.0,"Bull flag continuation — 13.49% 7d expansion, retest of breakout zone",,2026-06-17 10:04,2026-06-19 6:44,,89.0
INJ_SHORT_2026-06-19_1949,INJ,SHORT,PARTIAL_WIN,5.675,5.05,TP1,0.0,0.0,"LH/LL structure — RS failure vs BTC, -8.54% 24h, exhausted bounce",,2026-06-17 16:04,2026-06-19 19:49,,88.0
NEAR_SHORT_2026-06-19_1949,NEAR,SHORT,PARTIAL_WIN,2.385,2.1,TP1,0.0,0.0,"Breakdown retest — -8.50% 24h, failed reclaim, weak sector momentum",,2026-06-17 16:04,2026-06-19 19:49,,87.0
WLD_SHORT_2026-06-18_1321,WLD,SHORT,PARTIAL_WIN,0.7,0.62,TP1,0.0,0.0,"Dead-cat retest after +49% 7d pump — extreme FOMO exhaustion, Stage 4-5, funding +0.01%",,2026-06-18 2:04,2026-06-18 13:21,,87.0
HYPE_LONG_2026-06-19_1049,HYPE,LONG,LOSS,71.25,66.8,SL,0.0,0.0,"Bull flag continuation — negative funding, strong relative strength",,2026-06-18 4:04,2026-06-19 10:49,,89.0
XLM_LONG_2026-06-18_851,XLM,LONG,PARTIAL_WIN,0.2215,0.24,TP1,0.0,0.0,Stage 2 expansion retest — breakout consolidation,,2026-06-18 4:04,2026-06-18 8:51,,87.0
HBAR_LONG_2026-06-18_1121,HBAR,LONG,LOSS,0.0795,0.08,SL,0.0,0.0,"HH/HL structure intact — 7d +5.10%, holding above key support, low Vol/MCap 0.001 = institutional accumulation, low funding +0.007%",,2026-06-18 6:04,2026-06-18 11:21,,86.0
CRV_SHORT_2026-06-20_2119,CRV,SHORT,PARTIAL_WIN,0.2415,0.21,TP1,0.0,0.0,"Relative weakness — -6.32% 24h vs market, Vol/MCap 0.055 elevated, positive funding +0.010% = longs trapped, LH structure forming on retest",,2026-06-18 6:04,2026-06-20 21:19,,86.0
XLM_LONG_2026-06-19_1149,XLM,LONG,LOSS,0.2325,0.22,SL,0.0,0.0,"Stage 2 breakout retest — 7d +28.49% momentum, negative funding, prior TP1 wins",,2026-06-18 23:14,2026-06-19 11:49,,88.0
H_LONG_2026-06-19_1649,H,LONG,LOSS,0.2215,0.2,SL,0.0,0.0,"Stage 2 expansion retest — 7d +42.97%, 24h pullback from high creating retest zone, strong momentum base",,2026-06-18 23:14,2026-06-19 16:49,,86.0
XLM_LONG_2026-06-19_1149,XLM,LONG,LOSS,0.232,0.22,SL,0.0,0.0,"Stage 2 breakout retest — 7d +22.62%, holding HH/HL structure",,2026-06-19 6:43,2026-06-19 11:49,,91.0
AERO_LONG_2026-06-19_2249,AERO,LONG,PARTIAL_WIN,0.4375,0.47,TP1,0.0,0.0,"Bull flag continuation — 7d +25.79%, proven winner in graveyard",,2026-06-19 6:43,2026-06-19 22:49,,89.0
JTO_LONG_2026-06-19_819,JTO,LONG,PARTIAL_WIN,0.71,0.76,TP1,0.0,0.0,"Stage 2-3 expansion — 7d +34.71%, negative funding = squeeze fuel",,2026-06-19 6:43,2026-06-19 8:19,,86.0
CRV_SHORT_2026-06-20_2119,CRV,SHORT,PARTIAL_WIN,0.232,0.21,TP1,0.0,0.0,"Structural breakdown — 7d -12.34%, DeFi sector weakness, LH/LL confirmed, negative funding -0.0172%",,2026-06-19 8:08,2026-06-20 21:19,,86.0
JUP_LONG_2026-06-21_549,JUP,LONG,PARTIAL_WIN,0.1895,0.21,TP1,0.0,0.0,"Stage 2 breakout retest — 7d +20.12%, negative funding -0.0179%, strong RS",,2026-06-19 10:08,2026-06-21 5:49,,86.0
JTO_LONG_2026-06-20_249,JTO,LONG,PARTIAL_WIN,0.7025,0.76,TP1,0.0,0.0,"Stage 2-3 breakout retest — 7d +31.74%, negative funding squeeze",,2026-06-19 12:07,2026-06-20 2:49,,87.0
AVAX_SHORT_2026-06-20_219,AVAX,SHORT,PARTIAL_WIN,6.325,5.75,TP1,0.0,0.0,"Bear breakdown — 24h -8.07%, 7d -9.02%, LH/LL structure",,2026-06-19 12:07,2026-06-20 2:19,,90.0
AERO_LONG_2026-06-20_2219,AERO,LONG,PARTIAL_WIN,0.4625,0.5,TP1,0.0,0.0,"Bull flag continuation — 7d +32.15%, 24h +9.52%, retest after breakout, DeFi sector, positive momentum expansion",,2026-06-20 0:08,2026-06-20 22:19,,86.0
CHZ_SHORT_2026-06-20_019,CHZ,SHORT,LOSS,0.0227,0.02,SL,0.0,0.0,"LH/LL breakdown — 7d -18.49%, 24h -2.37%, laggard with no base, Gaming/NFT sector structural weakness",,2026-06-20 0:08,2026-06-20 0:19,,88.0
CHZ_SHORT_2026-06-20_219,CHZ,SHORT,LOSS,0.0223,0.02,SL,0.0,0.0,"Stage 4-5 distribution — 7d -16.63%, LH/LL confirmed, prior short winner on this coin",,2026-06-20 2:08,2026-06-20 2:19,,87.0
XLM_SHORT_2026-06-22_1740,XLM,SHORT,PARTIAL_WIN,0.2315,0.21,TP1,0.0,0.0,"Dead-cat exhaustion — 24h -8.36% crash after 7d +15.41% pump, 4x SL graveyard coin — reduced sizing",,2026-06-20 4:08,2026-06-22 17:40,,88.0
LUNC_SHORT_2026-06-20_619,LUNC,SHORT,LOSS,0.0000705,0,SL,0.0,0.0,"LH/LL cascade — 7d -9.88%, 24h -4.06%, dead structure",,2026-06-20 6:02,2026-06-20 6:19,,86.0
CHZ_SHORT_2026-06-20_619,CHZ,SHORT,LOSS,0.0224,0.02,SL,0.0,0.0,"LH/LL breakdown — 17.28% 7d decline, Stage 5 distribution, persistent weakness",,2026-06-20 6:06,2026-06-20 6:19,,87.0
CHZ_SHORT_2026-06-20_819,CHZ,SHORT,LOSS,0.0224,0.02,SL,0.0,0.0,"LH/LL cascade continuation — 7d -16.08%, persistent structural weakness",,2026-06-20 8:06,2026-06-20 8:19,,87.0
ALGO_LONG_2026-06-22_610,ALGO,LONG,LOSS,0.0925,0.09,SL,0.0,0.0,"Stage 2 breakout retest — 7d +8.58%, deeply negative funding -0.0341%",,2026-06-20 12:06,2026-06-22 6:10,,87.0
JUP_LONG_2026-06-21_549,JUP,LONG,PARTIAL_WIN,0.1915,0.21,TP1,0.0,0.0,"Bull flag continuation — negative funding -0.0075%, 13.70% 7d strength",,2026-06-20 20:06,2026-06-21 5:49,,90.0
EIGEN_LONG_2026-06-21_1449,EIGEN,LONG,PARTIAL_WIN,0.25,0.27,TP1,0.0,0.0,"Stage 2 breakout — 7d +35%, pullback into retest zone",,2026-06-20 22:06,2026-06-21 14:49,,88.0
AERO_LONG_2026-06-21_419,AERO,LONG,PARTIAL_WIN,0.5,0.55,TP1,0.0,0.0,"Bull flag retest — Stage 3 expansion, 7d +42.73%",,2026-06-20 22:42,2026-06-21 4:19,,91.0
JTO_SHORT_2026-06-22_710,JTO,SHORT,PARTIAL_WIN,0.7325,0.65,TP1,0.0,0.0,"Dead cat retest — 7d +24.14% but 24h -6.85%, momentum exhaustion",,2026-06-20 22:42,2026-06-22 7:10,,88.0
TIA_LONG_2026-06-22_2019,TIA,LONG,PARTIAL_WIN,0.365,0.4,TP1,0.0,0.0,7d +10.49% breakout retest — compression resolve long,,2026-06-20 22:57,2026-06-22 20:19,,85.0
ONDO_SHORT_2026-06-23_1240,ONDO,SHORT,PARTIAL_WIN,0.355,0.32,TP1,0.0,0.0,"Dead-cat retest — 7d -7.91%, 24h -3.13%, no momentum, RWA sector underperforming",,2026-06-20 22:57,2026-06-23 12:40,,87.0
INJ_SHORT_2026-06-23_1310,INJ,SHORT,PARTIAL_WIN,5.15,4.62,TP1,0.0,0.0,"LH/LL breakdown — -5.07% 7d, failed recovery, bear expansion",,2026-06-20 22:57,2026-06-23 13:10,,86.0
PENDLE_LONG_2026-06-21_1149,PENDLE,LONG,PARTIAL_WIN,1.355,1.48,TP1,0.0,0.0,"RWA/Staking accumulation — 7d +4.16%, positive funding controlled, low Vol/MCap, support retest",,2026-06-21 0:08,2026-06-21 11:49,,87.0
TRUMP_SHORT_2026-06-22_819,TRUMP,SHORT,LOSS,1.84,1.94,SL,0.0,0.0,"Meme coin distribution — 7d -18.10%, extreme negative funding -0.0463% (short squeeze risk managed), LH/LL structure confirmed",,2026-06-21 0:08,2026-06-22 8:19,,91.0
EIGEN_LONG_2026-06-21_1449,EIGEN,LONG,PARTIAL_WIN,0.2385,0.27,TP1,0.0,0.0,"Stage 2 breakout retest — 7d +31.78%, negative funding pullback, RWA/Staking sector momentum",,2026-06-21 4:09,2026-06-21 14:49,,88.0
ONDO_SHORT_2026-06-23_1240,ONDO,SHORT,PARTIAL_WIN,0.352,0.32,TP1,0.0,0.0,"Breakdown continuation — -3.10% 24h, -7.38% 7d, LH/LL cascade, negative funding -0.002% divergence, RWA sector weakness",,2026-06-21 4:09,2026-06-23 12:40,,92.0
JTO_SHORT_2026-06-22_1140,JTO,SHORT,PARTIAL_WIN,0.7375,0.64,TP1,0.0,0.0,"Dead-cat retest after 15% dump — 7d +26.21% exhausted, negative funding insufficient to hold, graveyard repeat loss pattern +5% penalty applied but score still clears bar",,2026-06-21 4:09,2026-06-22 11:40,,91.0
H_SHORT_2026-06-21_1819,H,SHORT,PARTIAL_WIN,0.2215,0.19,TP1,0.0,0.0,"Stage 5 distribution collapse — 7d -20.37%, 24h -12.64%, extreme negative funding -0.0343% short squeeze risk noted but structural breakdown dominant",,2026-06-21 4:09,2026-06-21 18:19,,91.0
MORPHO_SHORT_2026-06-23_2140,MORPHO,SHORT,PARTIAL_WIN,1.875,1.67,TP1,0.0,0.0,"Breakdown continuation — 24h -5.75%, 7d -6.74%, DeFi weakness, LH/LL structure",,2026-06-21 6:08,2026-06-23 21:40,,92.0
TIA_LONG_2026-06-22_2019,TIA,LONG,PARTIAL_WIN,0.368,0.4,TP1,0.0,0.0,"Stage 2 expansion — +8.40% 7d, negative funding -0.0158% = squeeze fuel, low vol/mcap, clean HH/HL structure",,2026-06-21 8:08,2026-06-22 20:19,,88.0
XLM_LONG_2026-06-23_849,XLM,LONG,LOSS,0.2115,0.2,SL,0.0,0.0,"Stage 2 expansion continuation — +14.17% 7d momentum intact, positive funding, institutional interest",,2026-06-21 10:07,2026-06-23 8:49,,89.0
AXS_LONG_2026-06-22_710,AXS,LONG,LOSS,1.1225,1.05,SL,0.0,0.0,"Stage 2 breakout retest — 7d +22.58%, deeply negative funding -0.2815% (extreme short squeeze fuel), gaming sector outlier",,2026-06-21 10:07,2026-06-22 7:10,,91.0
SAND_LONG_2026-06-21_1019,SAND,LONG,PARTIAL_WIN,0.05575,0.06,TP1,0.0,0.0,"Stage 2 expansion retest — 7d +16.03%, negative funding -0.1042%, gaming/NFT sector strength, ANTI-FOMO: 14.27% 24h gain but entry is pullback zone",,2026-06-21 10:07,2026-06-21 10:19,,90.0
PENDLE_LONG_2026-06-23_1310,PENDLE,LONG,LOSS,1.44,1.34,SL,0.0,0.0,"RWA/Staking breakout continuation — 7d +11.86%, 24h +7.47%, recent TP1 WIN pattern repeat, positive funding controlled",,2026-06-21 12:07,2026-06-23 13:10,,90.0
VVV_SHORT_2026-06-22_1940,VVV,SHORT,LOSS,15,15.9,SL,0.0,0.0,"Stage 4-5 distribution — 7d -12.94%, extreme negative funding -0.0956% (highest in dataset), dead-cat bounce rejection, confirmed institutional exit",,2026-06-21 12:07,2026-06-22 19:40,,95.0
NEAR_LONG_2026-06-23_819,NEAR,LONG,LOSS,2.21,2.05,SL,0.0,0.0,"Stage 2-3 breakout expansion — 7d +6.74%, 24h +5.45%, positive momentum, negative funding on ETH ecosystem boosts relative strength",,2026-06-21 16:08,2026-06-23 8:19,,91.0
JTO_LONG_2026-06-22_540,JTO,LONG,LOSS,0.71,0.66,SL,0.0,0.0,"Stage 3 expansion continuation — 7d +31.80%, pullback retest zone, SOL ecosystem strength, proven graveyard winner x2",,2026-06-21 16:08,2026-06-22 5:40,,90.0
EIGEN_LONG_2026-06-22_840,EIGEN,LONG,PARTIAL_WIN,0.255,0.29,TP1,0.0,0.0,"Stage 2-3 expansion retest — 7d +38.63%, pullback into breakout zone, negative OI divergence",,2026-06-21 16:08,2026-06-22 8:40,,91.0
H_SHORT_2026-06-22_010,H,SHORT,PARTIAL_WIN,0.2025,0.18,TP1,0.0,0.0,"Stage 5 distribution collapse — 7d -70.06%, 24h -13.27%, dead-cat bounce entry ONLY, structural breakdown confirmed, extreme negative funding -0.1306%",,2026-06-21 20:09,2026-06-22 0:10,,95.0
SOL_LONG_2026-06-23_1519,SOL,LONG,LOSS,73,68.9,SL,0.0,0.0,"Stage 2-3 expansion retest — strongest L1 RS in dataset +10.18% 7d, negative funding -0.0100% = squeeze fuel, high OI $563M rising",,2026-06-22 0:10,2026-06-23 15:19,,88.0
JUP_LONG_2026-06-23_1540,JUP,LONG,LOSS,0.213,0.2,SL,0.0,0.0,"Stage 2 breakout retest — 7d +33.58% momentum, 24h +8.74% with retest entry below 24h high, positive OI confirmation",,2026-06-22 0:10,2026-06-23 15:40,,86.0
LTC_LONG_2026-06-24_1110,LTC,LONG,LOSS,44.8,41.8,SL,0.0,0.0,"Continuation breakout — 7d +2.82% steady, 24h +2.46%, negative funding -0.0026%, low Vol/MCap 0.001 healthy, Stage 2",,2026-06-22 0:10,2026-06-24 11:10,,85.0
EIGEN_LONG_2026-06-22_910,EIGEN,LONG,PARTIAL_WIN,0.263,0.3,TP1,0.0,0.0,Stage 2-3 expansion retest — 7d +43% breakout with healthy pullback entry,,2026-06-22 0:10,2026-06-22 9:10,,88.0
WIF_LONG_2026-06-22_2040,WIF,LONG,PARTIAL_WIN,0.1605,0.17,TP1,0.0,0.0,"Bull flag retest — negative funding (-0.005%) supports squeeze, 7d +6.31%",,2026-06-22 0:10,2026-06-22 20:40,,86.0
COMP_LONG_2026-06-24_1140,COMP,LONG,LOSS,17.8,16.8,SL,0.0,0.0,"Momentum continuation — 7d +5.08%, healthy vol/mcap, support reclaim",,2026-06-22 0:10,2026-06-24 11:40,7e1a6ecc-fd5b-4888-833e-01f2da5439c1,85.0
H_SHORT_2026-06-22_019,H,SHORT,PARTIAL_WIN,0.2,0.19,TP1,0.0,0.0,"Stage 5 distribution collapse — 24h -13.29%, 7d -40.69%, dead-cat bounce entry at resistance, proven 75% SHORT WR coin, declining volume on bounce",,2026-06-22 0:10,2026-06-22 0:19,,93.0
CRV_SHORT_2026-06-24_1019,CRV,SHORT,PARTIAL_WIN,0.216,0.2,TP1,0.0,0.0,"Stage 5 distribution — 7d -9.76% structural breakdown, failed retest of broken support, high Vol/MCap 0.011, negative funding -0.0063% = weak longs capitulating",,2026-06-22 0:10,2026-06-24 10:19,,93.0
FF_SHORT_2026-06-22_019,FF,SHORT,FULL_WIN,0.102,0.08,TP3,0.0,0.0,"Stage 4-5 exhaustion — proven 100% SHORT WR coin, recovery mode approved, structural weakness confirmed",,2026-06-22 0:10,2026-06-22 0:19,,93.0
H_SHORT_2026-06-22_210,H,SHORT,PARTIAL_WIN,0.2025,0.19,TP1,0.0,0.0,"Stage 5 distribution collapse — -41.14% 7d, -11.74% 24h, dead-cat bounce entry on any relief rally to resistance zone $0.195-$0.210, proven 75% SHORT WR recovery coin, structural breakdown confirmed",,2026-06-22 2:04,2026-06-22 2:10,,95.0
ATOM_SHORT_2026-06-24_1540,ATOM,SHORT,PARTIAL_WIN,1.81,1.69,TP1,0.0,0.0,"Stage 4-5 distribution — -9.95% 7d, -1.12% 24h, no momentum recovery, lagging all peers, LH/LL structure, dead-cat bounce from $1.81 high, funding +0.0100% (longs getting squeezed confirms trapped longs)",,2026-06-22 2:04,2026-06-24 15:40,,93.0
FF_SHORT_2026-06-22_2219,FF,SHORT,PARTIAL_WIN,0.0729,0.07,TP1,0.0,0.0,"Stage 4-5 distribution — flat momentum, 100% SHORT WR coin, resistance rejection",,2026-06-22 2:04,2026-06-22 22:19,,93.0
AXS_SHORT_2026-06-22_410,AXS,SHORT,PARTIAL_WIN,1.14,1.07,TP1,0.0,0.0,"Exhaustion reversal — -6.92% 24h sharp drop from $1.278 high, failed pump, dead-cat bounce short entry",,2026-06-22 2:04,2026-06-22 4:10,,93.0
